filename,photographer,year,title,call_numer
drying-up-corn-near-eutaw-alabama.jpg,Dorothea Lange,1936,"Drying up corn. Near Eutaw, Alabama",fsa1998021598/PP
lyman-brewster-part-owner-quarter-circle.jpg,Arthur Rothstein,1939,"Lyman Brewster, part owner. Quarter Circle &#39;U&#39; Ranch, Montana",fsa2000008864/PP
veasey-school-for-colored-children-greene.jpg,Jack Delano,1941,"Veasey school for colored children. Greene County, Georgia",fsa2000028166/PP
clovis-new-mexico-checking-a-locomotive.jpg,Jack Delano,1943,"Clovis, New Mexico. Checking a locomotive as it leaves the roundhouse in the Atchison, Topeka and Santa Fe Railroad shops",owi2001022212/PP
train-pulls-coal-through-center-of.jpg,Marion Post Wolcott,1938,"Train pulls coal through center of town past miners&#39; homes (company houses) several times morning and evening. Osage, West Virginia",fsa1998011919/PP
new-york-new-york-associated-transport.jpg,John Vachon,1943,"New York, New York. Associated Transport Company trucking terminal on Twenty-third Street. Loading tires onto a truck",owi2001019917/PP
a-united-states-army-truck-convoy.jpg,Nick Parrino,1943,A United States Army truck convoy carrying supplies for Russia climbing a snowbound mountain pass somewhere in the Persian corridor. Iranian road workers struggle to keep the pass open,owi2001027935/PP
mcintosh-county-north-dakota-schoolhouse-where.jpg,John Vachon,1940,"McIntosh County, North Dakota. Schoolhouse where farmers are voting on election day",fsa2000042245/PP
spanish-muskrat-trappers-new-home-built.jpg,Marion Post Wolcott,1941,"Spanish muskrat trapper&#39;s new home, built with the aid of a FSA (Farm Security Administration) loan. Delacroix Island, Louisiana",fsa2000037553/PP
guernsey-cows-dairy-farm-dakota-county.jpg,Arthur Rothstein,1939,"Guernsey cows, dairy farm, Dakota County, Minnesota",fsa1997012218/PP
rehabilitation-borrowers-family-greene-county-georgia.jpg,Marion Post Wolcott,1939,"Rehabilitation borrower&#39;s family, Greene County, Georgia",fsa1998012722/PP
news-photographers-at-tourist-camp-washington.jpg,Reginald Hotchkiss,1941,"News photographers at tourist camp, Washington, D.C.",fsa1998003810/PP
park-county-montana-sheep-ranch.jpg,John Vachon,1942,"Park County, Montana. Sheep ranch",fsa2000045756/PP
fred-ukro-with-corn-husked-for.jpg,Arthur Rothstein,1939,"Fred Ukro with corn husked for yield test. Grundy County, Iowa",fsa2000010270/PP
aluminum-castings-aluminum-castings-stacked-on.jpg,Alfred T. Palmer,1942,Aluminum castings. Aluminum castings stacked on trucks in a large Midwest aluminum foundry now converted to production of articles for the army and air corps. These cylinders are now ready for heat treatment,oem2002002421/PP
wife-of-farmer-living-at-the.jpg,Russell Lee,1940,"Wife of farmer living at the Yuba City FSA (Farm Security Administration) farm workers&#39; camp. Yuba City, California. She is sewing and pressing in the community building",fsa2000019722/PP
ola-idaho-a-road-which-runs.jpg,Russell Lee,1942,"Ola, Idaho. A road which runs by the farm of a member of the Ola self-help cooperative",fsa2000050881/PP
these-two-employees-at-north-american.jpg,Alfred T. Palmer,1942,These two employees at North American Aviation work as a team while riveting a bomb bay door assembly for B-25,owi2001041311/PP
harvesting-grain-on-farm-of-fsa.jpg,Arthur Rothstein,1939,"Harvesting grain on farm of FSA (Farm Security Administration) client near San Luis, Colorado",fsa2000009875/PP
transportation-car-pooling-at-glenn-martin.jpg,Howard Liberman,1942,"Transportation. Car pooling at Glenn Martin. Car pooling helps solve the labor transportation problem of a big aircraft plant. In the Canton division of the Glenn Martin Company, the personnel manager works out from his files, a ride plan that meets the need of a worker. File data is supplied by the plant section chiefs",oem2002003660/PP
san-augustine-texas-saturday-morning-in.jpg,John Vachon,1943,"San Augustine, Texas. Saturday morning in the bank",owi2001026196/PP
farmers-near-woodstock-vermont-bring-their.jpg,Marion Post Wolcott,1939,"Farmers near Woodstock, Vermont, bring their cans of milk to the crossroads early every morning where it is picked up by the coop farmers&#39; truck and is taken to the city",fsa1998014322/PP
getting-planter-ready-for-corn-planting.jpg,John Vachon,1940,"Getting planter ready for corn planting season. Grundy County, Iowa",fsa2000041302/PP
houses-and-real-estate-for-sale.jpg,Russell Lee,1939,"Houses and real estate for sale, Harlingen, Texas",fsa1997025156/PP
sharecroppers-families-gathering-needs-for-their.jpg,Dorothea Lange,1936,"Sharecroppers&#39; families gathering needs for their 4th of July celebration, whites and blacks together. Hill House, Mississippi",fsa1998021723/PP
silo-and-corn-crib-black-hawk.jpg,Arthur Rothstein,1939,"Silo and corn crib. Black Hawk County, Iowa",fsa2000010450/PP
barrage-balloon-parris-island-sc.jpg,Alfred T. Palmer,1942,"Barrage balloon, Parris Island, S.C.",fsa1992001287/PP
loading-truck-with-sugar-beets-adams.jpg,Arthur Rothstein,1939,"Loading truck with sugar beets. Adams County, Colorado",fsa2000010088/PP
moore-county-texas-oil-well-being.jpg,John Vachon,1942,"Moore County, Texas. Oil well being drilled by cable tool method",owi2001013423/PP
farmer-and-his-boy-hauling-water.jpg,Dorothea Lange,1939,"Farmer and his boy hauling water for drinking and domestic purposes to the stump farm. Boundary County, Idaho. General caption 53",fsa2000005237/PP
barn-and-chicken-coop-of-spanishamerican.jpg,Russell Lee,1940,"Barn and chicken coop of Spanish-American farmer. Chamisal, New Mexico",fsa2000018430/PP
naked-tobacco-stalks-with-blooms-on.jpg,Marion Post Wolcott,1939,"Naked tobacco stalks with blooms on top after last priming. Chatham County, North Carolina",fsa2000032538/PP
home-of-married-couple-working-on.jpg,Russell Lee,1940,"Home of married couple working on Earl Fruit Company ranch. Kern County, California. These houses have been made from boxcars",fsa2000019387/PP
small-children-waiting-for-their-older.jpg,Jack Delano,1940,"Small children waiting for their older brothers and sisters to be let out of school for lunch. Ledyard, Connecticut",fsa1998007168/PP
new-bedford-massachusetts-dinnertime-in-the.jpg,John Collier,1942,"New Bedford, Massachusetts. Dinnertime in the home of a Portuguese house painter",owi2001003676/PP
defense-worker-from-north-carolina-who.jpg,John Vachon,1941,"Defense worker from North Carolina who was hurt on the job. Saint Vincent&#39;s Hospital charity ward. Norfolk, Virginia",fsa2000043173/PP
production-airplane-manufacture-general-a-employee.jpg,Alfred T. Palmer,1942,"Production. Airplane manufacture, general. A employee in the drill press section of North American&#39;s huge machine shop at Inglewood, California, runs mounting holes in a large dural casting. This plant produces the battle-tested B-25 (&quot;Billy Mitchell&quot;) bomber, used in General Doolittle&#39;s raid on Tokyo, and the P-51 (&quot;Mustang&quot;) fighter plane, which was first brought into prominence by the British raid on Dieppe",oem2002006062/PP
new-madrid-county-missouri-sunflower-heads.jpg,Russell Lee,1938,"New Madrid County, Missouri. Sunflower heads in field, Southeast Missouri Farms",fsa1997023236/PP
old-farmhouse-on-property-of-woman.jpg,John Collier,1941,"Old farmhouse on property of woman who operated a chicken farm near Haymarket, Virginia",fsa2000051518/PP
farm-wife-in-kitchen-of-new.jpg,Russell Lee,1938,"Farm wife in kitchen of new home. Lake Dick Project, Arkansas",fsa2000012731/PP
